num,word,part,ch,lv
1,ability,n.,能力,2
2,abroad,adv.,在國外；傳開地,2
3,absence,n.,缺席；不在,2
4,absent,adj.,缺席的；不在場的,2
5,accept,v.,接受；採納,2
6,active,adj.,積極的；活躍的,2
7,addition,n.,添加；增加的人或物,2
8,advance,v.,向前移動；進步,2
9,affair,n.,事務；戀情,2
10,aid,n.,幫助；援助,2
11,aim,n.,目的；目標,2
12,aircraft,n.,飛機,2
13,airline,n.,航空公司,2
14,alarm,n.,警報器；警報,2
15,album,n.,相簿；專輯,2
16,alike,adj.,相像的；類似的,2
17,alive,adj.,活著的；有活力的,2
18,aloud,adv.,大聲地,2
19,alphabet,n.,字母表,2
20,amount,n.,數量；總數,2
21,ancient,adj.,古代的；古老的,2
22,ankle,n.,腳踝,2
23,apartment,n.,公寓,2
24,appearance,n.,外表；出現,2
25,appetite,n.,食慾；胃口,2
26,apply,v.,申請；運用,2
27,argue,v.,爭論；辯論,2
28,argument,n.,爭論；論點,2
29,arm,v.,配備；武裝,2
30,arrange,v.,整理；安排,2
31,arrangement,n.,整理；安排,2
32,arrest,v.,逮捕,2
33,arrive,v.,抵達；到達,2
34,article,n.,文章,2
35,artist,n.,藝術家；高手,2
36,asleep,adj.,睡著的,2
37,assistant,n.,助理；副手,2
38,attack,v.,攻擊；襲擊,2
39,attend,v.,參加；處理(to),2
40,attention,n.,注意；照顧,2
41,avoid,v.,避免；避開,2
42,babysit,v.,當臨時保姆,2
43,backward,adv.,向後方的；相反的,2
44,bake,v.,烘烤,2
45,bakery,n.,麵包店,2
46,balcony,n.,陽台,2
47,basement,n.,地下室,2
48,basis,n.,根據；基礎,2
49,battle,n.,"戰爭,戰役",2
50,bear,v.,生小孩；忍受,2
51,beg,v.,乞討；請求,2
52,belief,n.,信仰；信念,2
53,bench,n.,長凳；板凳,2
54,bend,v.,使…彎曲；折彎,2
55,besides,adv.,而且；並且,2
56,bet,v.,與…打賭(on)；下注,2
57,bill,n.,帳單；紙鈔,2
58,bind,v.,捆；綁,2
59,bitter,adj.,苦的；慘痛的,2
60,blank,adj.,空白的,2
61,blind,adj.,失明的；視而不見的,2
62,board,n.,木板；佈告欄,2
63,boil,v.,沸騰；煮沸,2
64,bomb,n.,炸彈,2
65,bomber,n.,轟炸機；炸彈客,2
66,bookcase,n.,書櫃,2
67,boss,n.,老闆；上司,2
68,bother,v.,使惱怒；打擾,2
69,brain,n.,頭腦；聰明的人,2
70,branch,n.,樹枝；分公司,2
71,brand,n.,商標；品牌,2
72,brick,n.,磚塊,2
73,brief,adj.,短暫的；簡短的,2
74,briefly,adv.,簡單地；簡短地,2
75,broad,adj.,寬廣的；寬闊的,2
76,broadcast,v.,廣播；播放,2
77,brunch,n.,早午餐,2
78,brush,v.,刷牙；梳頭髮；(用刷子)刷上,2
79,bundle,n.,捆；大量,2
80,burst,v.,爆炸；突然發生,2
81,business,n.,生意；事情,2
82,businessman,n.,生意人；商人,2
83,button,n.,鈕扣；按鈕,2
84,cable,n.,電纜；有線電視,2
85,caf?,n.,咖啡館,2
86,cafeteria,n.,自助餐廳,2
87,calendar,n.,日曆；日程表,2
88,calm,v.,使…平靜；安靜下來,2
89,cancel,v.,取消；撤銷,2
90,cancer,n.,癌症,2
91,candle,n.,蠟燭,2
92,captain,n.,船長/機長；(球隊)隊長,2
93,carpet,n.,地毯；地毯狀覆蓋物,2
94,carrot,n.,胡蘿蔔,2
95,cartoon,n.,卡通影片；連載漫畫,2
96,cash,n.,現金；現鈔,2
97,cassette,n.,卡式磁帶匣；錄音帶匣,2
98,castle,n.,城堡,2
99,ceiling,n.,天花板,2
100,cell,n.,細胞；電池,2
101,central,adj.,中心的；主要的,2
102,century,n.,世紀；一百年,2
103,cereal,n.,麥片,2
104,change,v.,變化；改變,2
