num,word,part,ch,lv
1,able,adj.,能夠…的；有能力的,1
2,according,adj.,相符的；依據,1
3,across,prep.,到對面；橫過,1
4,act,n.,行為；動作,1
5,action,n.,行動；行為,1
6,actor,n.,參加者；演員,1
7,actress,n.,女演員,1
8,add,v.,加；增添,1
9,address,n.,致詞；住址,1
10,adult,n.,成人；成年人,1
11,afraid,adj.,害怕的；畏懼的,1
12,age,v.,變老；使酒的味道變醇,1
13,agree,v.,意見一致；贊成,1
14,agreement,n.,協定；同意,1
15,airplane,n.,飛機,1
16,allow,v.,允許；准許,1
17,alone,adv.,獨自地；單獨地,1
18,anger,n.,忿怒；發怒,1
19,angry,adj.,生氣的；惱怒的(at,1
20,appear,v.,出現；似乎,1
21,area,n.,地區；領域,1
22,arm,n.,手臂,1
23,army,n.,軍隊,1
24,art,n.,藝術；技巧,1
25,band,n.,樂隊；條狀物,1
26,base,n.,根基；底部,1
27,basic,adj.,基本的；基礎的,1
28,bathe,v.,洗澡；使沈浸其中,1
29,beach,n.,海濱；海灘,1
30,beat,n.,節奏,1
31,beauty,n.,美的事物；美麗,1
32,beginning,n.,開始；起初,1
33,belong,v.,屬於；適合,1
34,believe,v.,相信；認為,1
35,below,prep.,在…下方；在…以下,1
36,birth,n.,出生,1
37,bite,v.,咬住；咬上,1
38,block,n.,一塊；片,1
39,blood,n.,血液,1
40,blow,v.,吹；吹動,1
41,bone,n.,骨；骨頭,1
42,bottom,n.,底部；基部,1
43,brave,adj.,勇敢的；英勇的,1
44,bread,n.,麵包；生計,1
45,break,v.,破裂；違反,1
46,bridge,n.,橋；橋梁,1
47,bright,adj.,光亮的；聰明的,1
48,build,v.,建造；創立,1
49,building,n.,建築物；樓房,1
50,cage,n.,鳥籠,1
51,call,v.,打電話；稱呼,1
52,camera,n.,照相機,1
53,camp,v.,露營,1
54,care,n.,謹慎；照顧,1
55,careless,adj.,粗心的；不小心的,1
56,careful,adj.,小心的；慎重的,1
57,carefully,adv.,小心地；注意地,1
58,carry,v.,運送；攜帶,1
59,case,n.,例子；案子,1
60,cause,n.,原因,1
61,center,n.,中心；焦點,1
62,certain,adj.,確信；有把握的,1
63,chair,n.,椅子；席位,1
64,chance,n.,機會；時機,1
65,chart,n.,航海圖；圖表,1
66,chase,v.,追捕；驅逐,1
67,check,v.,停止；檢查,1
68,chief,adj.,主要的,1
69,chiefly,adv.,第一；主要,1
70,church,n.,教堂；聖堂,1
71,cinema,n.,電影院,1
72,clean,adj.,清潔的；未污染的,1
73,clear,adj.,晴朗的；清楚的,1
74,climb,v.,登上；攀爬,1
75,closely,adv.,接近地；緊密地,1
76,coast,n.,海岸；沿岸,1
77,common,adj.,常見的；普通的,1
78,commonly,adv.,一般地；普通地,1
79,continue,v.,繼續，持續,1
80,cool,v.,使冷卻；使情緒平靜下來,1
81,correct,adj.,正確的；適當的,1
82,cost,n.,成本；價格,1
83,count,v.,數；重要,1
84,county,n.,郡；縣,1
85,country,n.,國家；國土,1
86,course,n.,課程；路線,1
87,cover,v.,遮；蓋,1
88,cut,v.,切；割,1
89,danger,n.,危險；可成為危險的原因,1
90,dark,adj.,暗的；深的,1
91,darkness,n.,黑暗,1
92,date,n.,日期；年代,1
93,daughter,n.,女兒,1
94,dead,adj.,已故的；死亡的,1
95,deal,n.,交易；數量,1
96,death,n.,死亡,1
97,decide,v.,決心；決定,1
98,deep,adj.,深的；深長的,1
99,deeper,adj.,更深的,1
100,deeply,adv.,深深地,1
101,die,v.,死亡；喪生,1
102,different,adj.,不同的；各種的,1
103,differently,adv.,不同地,1
104,difficult,adj.,困難的；艱難的,1
105,dig,v.,挖掘,1
106,direct,v.,引領；指揮,1
107,directly,adv.,直接地；立刻,1
108,discover,v.,發現；找到,1
109,downstairs,adv.,向〈在〉樓下,1
110,dozen,n.,打；十二(個),1
111,dream,v.,作夢,1
112,eagle,n.,鷹；鷲,1
113,earth,n.,地球；土壤,1
114,ease,n.,舒適；輕鬆,1
115,edge,n.,邊緣,1
116,end,n.,末端；結束,1
117,enter,v.,進入,1
118,equal,adj.,平等的；相等的,1
119,equally,adv.,相同地；同樣地,1
120,even,v.,使相等；使穩定下來,1
121,examination,n.,考試；檢查,1
122,examine,v.,調查；診察,1
123,example,n.,例子；榜樣,1
124,except,prep.,除了…以外,1
125,fact,n.,事實,1
126,factory,n.,工廠；製造廠,1
127,FALSE,adj.,錯誤的；不正確的,1
128,fan,n.,風扇；…迷,1
129,fear,n.,恐懼；害怕,1
130,feed,v.,餵,1
131,feeling,n.,看法；感覺,1
132,fight,v.,打架；奮戰,1
133,fill,v.,裝滿；填滿,1
134,final,adj.,最終的；最後的,1
135,finding,n.,發現；決定,1
136,fire,n.,火；火災,1
137,fog,n.,霧；困惑,1
138,follow,v.,接著…而來；遵循,1
139,force,n.,力量；暴力,1
140,foreign,adj.,外國的,1
141,forest,n.,森林,1
142,forget,v.,忘；忽略,1
143,free,adj.,空閒的；免費的,1
144,freely,adv.,自由地；隨意地,1
145,fresh,adj.,新鮮的；清新的,1
146,front,n.,前面,1
147,fully,adv.,十分地；完全地,1
148,fun,n.,樂趣,1
149,funny,adj.,滑稽的；有趣,1
150,gas,n.,瓦斯；燃料,1
151,grand,adj.,偉大的；豪華的,1
152,gray,adj.,灰色的；面色蒼白的,1
153,ground,n.,土地；地面,1
154,guess,v.,推測；猜測,1
155,guest,n.,來賓；客人,1
156,guide,v.,指導；引領,1
157,happen,v.,發生；碰巧,1
158,health,n.,健康；衛生,1
159,heavy,adj.,厚重的；繁忙的,1
160,history,n.,歷史；由來,1
161,hit,v.,撞；打擊,1
162,hole,n.,破洞；巢穴,1
163,huge,adj.,巨大的；龐大的,1
164,human,adj.,人的；有人性的,1
165,hungry,adj.,飢餓的；渴望的,1
166,hurt,v.,使＜人；身體某部份＞受傷；弄痛,1
167,idea,n.,主意；見解,1
168,important,adj.,重要的；地位高的,1
169,interest,n.,興趣；利息,1
170,interested,adj.,感興趣的；有濃厚興趣的,1
171,interesting,adj.,引起興趣的；有趣的,1
172,jam,n.,果醬；阻塞,1
173,join,v.,加入；連接,1
174,joke,n.,笑話；玩笑,1
175,kick,v.,踢,1
176,knife,n.,菜刀；餐刀,1
177,unknown,adj.,不出名；默默無聞,1
178,lack,n.,缺乏；不足,1
